day,close,pem,pep,p20,p50,p80
2012-05-22,3058.53,32.24,21.94,32.06,37.03,40.36
2012-05-23,3099.50,32.14,20.93,32.06,37.02,40.35
2012-05-24,3118.53,31.58,16.75,32.05,37.01,40.34
2012-05-25,3090.52,31.20,14.16,32.04,37.00,40.33
2012-05-28,3048.83,31.50,16.46,32.03,37.00,40.32
2012-05-29,3073.74,31.97,19.12,32.03,37.00,40.31
2012-05-30,3102.99,31.97,19.10,32.02,36.99,40.30
2012-05-31,3107.37,31.89,18.47,32.01,36.98,40.29
2012-06-01,3136.63,32.08,21.00,32.02,36.97,40.29
2012-06-04,3170.60,31.39,15.64,32.01,36.97,40.28
2012-06-05,3146.06,32.56,25.06,32.01,36.97,40.27
2012-06-06,3202.24,31.89,18.50,32.01,36.96,40.27
2012-06-07,3176.59,31.93,18.84,32.01,36.95,40.27
2012-06-08,3145.16,31.52,16.65,32.00,36.94,40.26
2012-06-11,3135.21,32.22,22.65,32.01,36.94,40.26
2012-06-12,3181.23,31.78,17.57,31.99,36.94,40.26
2012-06-13,3214.38,32.55,25.48,31.99,36.93,40.26
2012-06-14,3300.64,32.45,24.61,32.00,36.92,40.26
2012-06-15,3285.95,33.38,29.62,32.00,36.91,40.25
2012-06-18,3319.82,34.17,34.01,32.01,36.91,40.25
2012-06-19,3369.14,34.05,32.66,32.01,36.91,40.25
2012-06-20,3370.27,33.39,29.63,32.01,36.91,40.25
2012-06-21,3293.31,33.04,27.80,32.01,36.88,40.24
2012-06-25,3266.02,32.30,23.36,32.01,36.86,40.24
2012-06-26,3253.03,32.62,25.83,32.01,36.85,40.23
2012-06-27,3243.46,33.17,28.66,32.01,36.84,40.23
2012-06-28,3278.06,32.28,23.28,32.01,36.83,40.23
2012-06-29,3312.21,32.95,27.76,32.01,36.81,40.23
2012-07-02,3355.65,36.32,47.87,32.01,36.80,40.23
2012-07-03,3428.11,36.29,47.81,32.01,36.80,40.23
2012-07-04,3403.12,35.16,41.96,32.01,36.80,40.23
2012-07-05,3349.91,35.40,43.80,32.01,36.79,40.23
2012-07-06,3335.83,36.81,50.12,32.01,36.80,40.23
2012-07-09,3436.82,35.99,46.53,32.02,36.79,40.23
2012-07-10,3427.02,34.48,36.35,32.02,36.78,40.23
2012-07-11,3335.88,36.06,46.89,32.02,36.77,40.23
2012-07-12,3440.86,36.11,47.30,32.02,36.77,40.23
2012-07-13,3467.66,36.19,47.60,32.02,36.77,40.23
2012-07-16,3486.42,35.11,40.98,32.03,36.75,40.22
2012-07-17,3420.88,35.47,44.09,32.03,36.73,40.22
2012-07-18,3389.78,34.93,39.25,32.03,36.66,40.22
2012-07-19,3379.66,35.51,44.34,32.03,36.59,40.22
2012-07-20,3391.15,35.64,45.22,32.03,36.59,40.22
