day,close,pem,pep,p20,p50,p80
2013-01-15,2829.59,31.61,56.21,29.18,31.19,35.19
2013-01-16,2862.97,31.73,58.03,29.19,31.19,35.18
2013-01-17,2849.66,31.16,48.60,29.19,31.19,35.16
2013-01-18,2820.92,31.67,57.42,29.19,31.19,35.16
2013-01-21,2867.30,31.87,60.61,29.20,31.20,35.16
2013-01-22,2886.80,31.18,49.03,29.20,31.19,35.15
2013-01-23,2857.39,31.44,55.00,29.21,31.20,35.15
2013-01-24,2866.98,30.71,42.94,29.21,31.19,35.15
2013-01-25,2824.58,30.78,43.92,29.21,31.19,35.13
2013-01-28,2815.89,31.61,56.20,29.21,31.19,35.12
2013-01-29,2896.96,31.86,60.99,29.21,31.20,35.10
2013-01-30,2923.65,31.70,58.08,29.21,31.20,35.09
2013-01-31,2935.02,31.42,54.10,29.21,31.20,35.07
2013-02-01,2926.96,31.69,57.77,29.21,31.20,35.06
2013-02-04,2971.19,31.37,53.26,29.21,31.20,35.05
2013-02-05,2965.34,31.61,55.83,29.21,31.20,35.03
2013-02-06,2992.20,31.89,61.89,29.21,31.23,35.02
2013-02-07,3002.05,31.99,62.53,29.21,31.25,35.01
2013-02-08,2996.61,32.43,69.35,29.22,31.26,35.00
2013-02-18,3021.59,32.71,71.85,29.22,31.27,34.98
2013-02-19,3008.43,32.25,65.78,29.23,31.27,34.97
2013-02-20,2954.18,32.96,74.93,29.23,31.27,34.95
2013-02-21,2989.72,32.56,70.48,29.24,31.28,34.94
2013-02-22,2906.31,32.33,67.11,29.24,31.29,34.90
2013-02-25,2894.49,32.65,71.43,29.25,31.30,34.86
2013-02-26,2913.19,32.23,64.91,29.25,31.30,34.83
2013-02-27,2872.45,32.15,63.42,29.26,31.30,34.79
2013-02-28,2890.58,32.77,72.97,29.26,31.30,34.75
2013-03-01,2965.17,33.27,75.65,29.26,31.30,34.74
2013-03-04,2978.11,32.31,65.80,29.26,31.31,34.72
2013-03-05,2857.57,32.94,75.00,29.26,31.31,34.71
2013-03-06,2934.54,33.44,76.62,29.26,31.31,34.69
2013-03-07,2972.80,33.05,75.13,29.26,31.32,34.68
2013-03-08,2938.91,32.83,72.87,29.26,31.33,34.66
2013-03-11,2918.76,32.91,73.71,29.26,31.34,34.65
2013-03-12,2909.62,31.96,59.64,29.27,31.34,34.63
2013-03-13,2854.86,31.66,54.36,29.27,31.34,34.62
2013-03-14,2826.39,31.70,55.50,29.27,31.34,34.60
2013-03-15,2835.13,31.92,59.44,29.27,31.36,34.57
2013-03-18,2840.83,31.60,52.42,29.27,31.37,34.54
2013-03-19,2802.65,31.69,54.82,29.28,31.38,34.51
2013-03-20,2819.67,32.54,69.62,29.28,31.38,34.48
2013-03-21,2904.72,32.90,73.99,29.28,31.38,34.45
2013-03-22,2921.36,33.01,75.57,29.28,31.38,34.37
2013-03-25,2927.39,32.80,72.61,29.28,31.40,34.28
2013-03-26,2923.44,32.66,70.43,29.29,31.42,34.20
2013-03-27,2890.98,32.81,72.75,29.29,31.42,34.11
2013-03-28,2899.80,31.95,58.85,29.29,31.42,34.03
2013-03-29,2810.36,32.21,62.44,29.30,31.43,34.02
2013-04-01,2807.68,32.56,68.98,29.31,31.43,34.01
2013-04-02,2814.73,32.20,62.13,29.31,31.44,34.01
2013-04-03,2793.55,31.87,57.28,29.32,31.44,34.00
2013-04-08,2780.52,32.18,61.58,29.33,31.47,33.99
2013-04-09,2778.86,32.36,65.85,29.33,31.50,33.99
2013-04-10,2800.91,32.16,61.27,29.34,31.52,33.98
2013-04-11,2794.06,32.05,60.39,29.34,31.55,33.98
2013-04-12,2785.08,31.82,56.34,29.35,31.55,33.97
2013-04-15,2765.45,31.59,50.12,29.35,31.56,33.97
2013-04-16,2733.45,32.11,61.17,29.35,31.57,33.92
2013-04-17,2759.70,32.49,68.52,29.36,31.59,33.88
2013-04-18,2770.14,32.61,70.53,29.36,31.59,33.83
2013-04-19,2777.63,33.20,76.87,29.37,31.60,33.79
2013-04-22,2845.67,33.29,77.40,29.37,31.61,33.74
2013-04-23,2851.75,32.21,62.11,29.37,31.61,33.74
2013-04-24,2766.06,33.02,76.32,29.37,31.61,33.73
2013-04-25,2820.86,32.45,67.30,29.38,31.61,33.73
2013-04-26,2783.02,31.52,48.57,29.38,31.61,33.72
2013-05-02,2747.91,31.30,44.89,29.38,31.61,33.72
2013-05-03,2756.81,31.94,57.11,29.38,31.61,33.71
2013-05-06,2807.88,32.53,69.03,29.39,31.61,33.70
2013-05-07,2850.84,32.45,67.22,29.39,31.61,33.69
2013-05-08,2856.48,33.07,76.94,29.40,31.61,33.68
2013-05-09,2876.90,33.16,77.00,29.40,31.62,33.67
2013-05-10,2869.45,33.50,79.39,29.40,31.62,33.65
2013-05-13,2885.84,33.61,79.67,29.40,31.62,33.65
2013-05-14,2885.67,33.11,76.46,29.41,31.63,33.63
2013-05-15,2847.50,33.68,80.00,29.41,31.64,33.67
2013-05-16,2873.60,33.78,80.51,29.41,31.65,33.68
2013-05-17,2913.58,34.38,81.25,29.41,31.66,33.71
2013-05-20,2956.85,35.07,82.68,29.42,31.66,33.73
2013-05-21,2987.07,35.56,84.79,29.42,31.66,33.76
